t,count
20460,147
20480,130
20500,121
20520,100
20540,74
20560,97
20580,108
20600,79
20620,109
20640,104
20660,108
20680,108
20700,143
20720,119
20740,126
20760,142
20780,132
20800,94
20820,126
20840,118
20860,103
20880,100
20900,118
20920,113
20940,103
20960,103
20980,121
21000,118
21020,136
21040,124
21060,109
21080,126
21100,100
21120,99
21140,107
21160,93
21180,116
21200,100
21220,102
21240,131
21260,148
21280,117
21300,104
21320,108
21340,104
21360,106
21380,120
21400,119
21420,93
21440,127
21460,121
21480,109
21500,122
21520,103
21540,92
21560,98
21580,113
21600,112
21620,128
21640,116
21660,101
21680,98
21700,101
21720,119
21740,99
21760,86
21780,132
21800,89
21820,79
21840,116
21860,126
21880,117
21900,115
21920,128
21940,123
21960,107
21980,117
22000,102
22020,126
22040,100
22060,102
22080,134
22100,112
22120,118
22140,103
22160,104
22180,107
22200,112
22220,96
22240,111
22260,105
22280,90
22300,83
22320,120
22340,104
22360,104
22380,98
22400,121
22420,99
22440,73
22460,83
22480,109
22500,116
22520,122
22540,127
22560,104
22580,125
22600,116
22620,119
22640,116
22660,135
22680,119
22700,101
22720,90
22740,113
22760,83
22780,123
22800,121
22820,96
22840,102
22860,124
22880,107
22900,99
22920,114
22940,116
22960,135
22980,93
23000,100
23020,106
23040,119
23060,101
23080,108
23100,116
23120,113
23140,136
23160,97
23180,94
23200,100
23220,122
23240,133
23260,128
23280,87
23300,104
23320,98
23340,115
23360,114
23380,104
23400,139
23420,117
23440,134
23460,117
23480,113
23500,108
23520,112
23540,116
23560,120
23580,110
23600,101
23620,112
23640,116
23660,142
23680,86
23700,79
23720,116
23740,122
23760,98
23780,140
23800,97
23820,95
23840,102
23860,126
23880,112
23900,128
23920,113
23940,112
23960,112
23980,128
24000,124
24020,117
24040,134
24060,94
24080,115
24100,105
24120,107
24140,106
24160,92
24180,125
24200,78
24220,95
24240,103
24260,98
24280,123
24300,107
24320,124
24340,96
24360,130
24380,150
24400,131
24420,124
24440,99
24460,84
24480,90
24500,93
24520,91
24540,107
24560,105
24580,108
24600,131
24620,99
24640,109
24660,110
24680,122
24700,109
24720,87
24740,81
24760,116
24780,94
24800,96
24820,133
24840,89
24860,116
24880,109
24900,116
24920,102
24940,113
24960,102
24980,96
25000,82
25020,93
25040,122
25060,101
25080,102
25100,109
25120,101
25140,108
25160,110
25180,102
25200,118
25220,106
25240,112
25260,109
25280,105
25300,84
25320,78
25340,109
25360,100
25380,105
25400,116
25420,138
25440,109
25460,115
25480,103
25500,110
25520,119
25540,117
25560,103
25580,122
25600,110
25620,117
25640,106
25660,99
25680,72
25700,108
25720,104
25740,104
25760,109
25780,105
25800,96
25820,110
25840,104
25860,104
25880,103
25900,117
25920,92
25940,88
25960,112
25980,110
26000,116
26020,112
26040,119
26060,107
26080,91
26100,103
26120,109
26140,102
26160,114
26180,116
26200,118
26220,120
26240,72
26260,96
26280,92
26300,110
26320,114
26340,97
26360,122
26380,98
26400,103
26420,89
26440,128
26460,112
26480,117
26500,92
26520,104
26540,99
26560,106
26580,119
26600,120
26620,111
26640,106
26660,126
26680,101
26700,109
26720,74
26740,142
26760,96
26780,103
26800,115
26820,120
26840,104
26860,112
26880,108
26900,86
26920,82
26940,123
26960,106
26980,89
27000,106
27020,126
27040,91
27060,119
27080,102
27100,107
27120,103
27140,74
27160,81
27180,101
27200,92
27220,131
27240,94
27260,114
27280,99
27300,76
27320,90
27340,107
27360,90
27380,92
27400,94
27420,123
27440,102
27460,107
27480,122
27500,74
27520,96
27540,112
27560,114
27580,105
27600,74
27620,111
27640,115
27660,100
27680,142
27700,86
27720,90
27740,104
27760,96
27780,112
27800,88
27820,94
27840,107
27860,94
27880,122
27900,81
27920,105
27940,107
27960,101
27980,120
28000,126
28020,95
28040,122
28060,109
28080,116
28100,99
28120,127
28140,98
28160,109
28180,117
28200,107
28220,115
28240,114
28260,78
28280,97
28300,100
28320,101
28340,106
28360,103
28380,106
28400,114
28420,97
28440,109
28460,92
28480,117
28500,89
28520,86
28540,89
28560,90
28580,98
28600,94
28620,119
28640,134
28660,122
28680,111
28700,96
28720,98
28740,125
28760,87
28780,94
28800,101
28820,108
28840,123
28860,104
28880,102
28900,104
28920,117
28940,102
28960,137
28980,113
29000,80
29020,136
29040,93
29060,97
29080,107
29100,103
29120,112
29140,118
29160,98
29180,75
29200,95
29220,90
29240,129
29260,95
29280,99
29300,102
29320,85
29340,84
29360,118
29380,95
29400,86
29420,87
29440,106
29460,102
29480,119
29500,115
29520,98
29540,98
29560,107
29580,91
29600,119
29620,96
29640,103
29660,114
29680,74
29700,101
29720,118
29740,77
29760,78
29780,93
29800,85
29820,107
29840,73
29860,87
29880,101
29900,112
29920,117
29940,98
29960,107
29980,93
30000,103
30020,88
30040,93
30060,107
30080,88
30100,93
30120,118
30140,120
30160,94
30180,119
30200,116
30220,77
30240,116
